stop_id,stop_name,stop_lat,stop_lon
ALSA_011,Al Salam Stop 11,31.262553,32.290471
ALSA_012,Al Salam Stop 12,31.261120,32.290128
ALSA_013,Al Salam Stop 13,31.259611,32.288983
ALSA_014,Al Salam Stop 14,31.258105,32.287834
ALSA_015,Al Salam Stop 15,31.256594,32.286693
ALSA_016,Al Salam Stop 16,31.255127,32.285505
ALSA_017,Al Salam Stop 17,31.253620,32.284357
ALSA_018,Al Salam Stop 18,31.252117,32.283202
ALSA_019,Al Salam Stop 19,31.251508,32.282711
ALSA_020,Al Salam Stop 20,31.249999,32.281567
ALSA_021,Al Salam Stop 21,31.248497,32.280409
ALSA_022,Al Salam Stop 22,31.246997,32.279248
ALSA_023,Al Salam Stop 23,31.245495,32.278091
ALSA_024,Al Salam Stop 24,31.244446,32.276815
ALSA_025,Al Salam Stop 25,31.243393,32.277636
ALSA_026,Al Salam Stop 26,31.241609,32.277847
ALSA_027,Al Salam Stop 27,31.239847,32.277430
ALSA_028,Al Salam Stop 28,31.239108,32.278603
ALSA_029,Al Salam Stop 29,31.239401,32.280679
ALSA_030,Al Salam Stop 30,31.239694,32.282754
ALSA_031,Al Salam Stop 31,31.240423,32.284077
ALSA_032,Al Salam Stop 32,31.242200,32.283748
ALSA_033,Al Salam Stop 33,31.243978,32.283438
ALSA_034,Al Salam Stop 34,31.244708,32.284796
ALSA_035,Al Salam Stop 35,31.244995,32.286873
ALSA_036,Al Salam Stop 36,31.244821,32.284880
ALSA_037,Al Salam Stop 37,31.245002,32.283168
ALSA_038,Al Salam Stop 38,31.246769,32.282775
ALSA_039,Al Salam Stop 39,31.248540,32.282406
ALSA_040,Al Salam Stop 40,31.250311,32.282041
ALSA_041,Al Salam Stop 41,31.251609,32.283086
ALSA_042,Al Salam Stop 42,31.251176,32.284130
ALSA_043,Al Salam Stop 43,31.252365,32.283511
ALSA_044,Al Salam Stop 44,31.253869,32.284666
ALSA_045,Al Salam Stop 45,31.255378,32.285811
ALSA_046,Al Salam Stop 46,31.255839,32.287213
ALSA_047,Al Salam Stop 47,31.254860,32.288977
ALSA_048,Al Salam Stop 48,31.253778,32.288330
ALSA_049,Al Salam Stop 49,31.255290,32.289470
ALSA_050,Al Salam Stop 50,31.256810,32.290596
ALSA_051,Al Salam Stop 51,31.258316,32.291745
ALSA_052,Al Salam Stop 52,31.258519,32.293199
ALSA_053,Al Salam Stop 53,31.259738,32.292756
ALSA_054,Al Salam Stop 54,31.261229,32.293921
ALSA_055,Al Salam Stop 55,31.261735,32.295302
ALSA_056,Al Salam Stop 56,31.260752,32.297064
